reltime,datetime,iSensor,ibi
0.001,2024/06/13 11:30:10.5209,5,952
0.001,2024/06/13 11:30:10.5209,4,0
0.001,2024/06/13 11:30:10.5209,3,876
0.001,2024/06/13 11:30:10.5209,2,0
0.001,2024/06/13 11:30:10.5209,1,0
0.001,2024/06/13 11:30:10.5209,0,0
0.433,2024/06/13 11:30:10.9529,3,941
1.213,2024/06/13 11:30:11.7329,5,952
1.419,2024/06/13 11:30:11.9389,3,902
1.46,2024/06/13 11:30:11.9799,5,952
2.158,2024/06/13 11:30:12.6779,3,850
2.198,2024/06/13 11:30:12.7179,5,952
2.444,2024/06/13 11:30:12.9639,5,952
2.69,2024/06/13 11:30:13.2099,5,952
2.897,2024/06/13 11:30:13.4169,3,938
2.937,2024/06/13 11:30:13.4569,5,951
3.183,2024/06/13 11:30:13.7029,5,952
3.43,2024/06/13 11:30:13.9499,5,952
3.881,2024/06/13 11:30:14.4009,3,896
4.168,2024/06/13 11:30:14.6879,5,952
4.414,2024/06/13 11:30:14.9339,5,952
4.62,2024/06/13 11:30:15.1399,3,841
5.154,2024/06/13 11:30:15.6739,5,952
5.4,2024/06/13 11:30:15.9199,5,952
5.605,2024/06/13 11:30:16.1249,3,909
5.647,2024/06/13 11:30:16.1669,5,952
5.893,2024/06/13 11:30:16.4129,5,952
6.138,2024/06/13 11:30:16.6579,5,952
6.345,2024/06/13 11:30:16.8649,3,904
6.384,2024/06/13 11:30:16.9039,5,938
6.631,2024/06/13 11:30:17.1509,5,938
6.877,2024/06/13 11:30:17.3969,5,938
7.576,2024/06/13 11:30:18.0959,3,826
8.315,2024/06/13 11:30:18.8349,3,913
9.299,2024/06/13 11:30:19.8189,3,907
9.587,2024/06/13 11:30:20.1069,5,923
9.833,2024/06/13 11:30:20.3529,5,923
10.079,2024/06/13 11:30:20.5989,5,923
10.285,2024/06/13 11:30:20.8049,3,979
10.777,2024/06/13 11:30:21.2969,3,862
11.516,2024/06/13 11:30:22.0359,3,790
12.501,2024/06/13 11:30:23.0209,3,748
12.788,2024/06/13 11:30:23.3079,5,908
13.034,2024/06/13 11:30:23.5539,5,908
13.486,2024/06/13 11:30:24.0059,3,771
13.979,2024/06/13 11:30:24.4989,3,808
15.21,2024/06/13 11:30:25.7299,3,781
15.99,2024/06/13 11:30:26.5099,5,908
16.195,2024/06/13 11:30:26.7149,3,888
16.236,2024/06/13 11:30:26.7559,5,908
16.482,2024/06/13 11:30:27.0019,5,908
17.18,2024/06/13 11:30:27.6999,3,975
17.919,2024/06/13 11:30:28.4389,3,918
18.904,2024/06/13 11:30:29.4239,3,983
19.19,2024/06/13 11:30:29.7099,5,908
19.438,2024/06/13 11:30:29.9579,5,869
19.683,2024/06/13 11:30:30.2029,5,869
19.89,2024/06/13 11:30:30.4099,3,1001
20.874,2024/06/13 11:30:31.3939,3,935
21.613,2024/06/13 11:30:32.1329,3,1000
22.598,2024/06/13 11:30:33.1179,3,971
22.639,2024/06/13 11:30:33.1589,5,821
22.885,2024/06/13 11:30:33.4049,5,821
23.583,2024/06/13 11:30:34.1029,3,889
24.322,2024/06/13 11:30:34.8419,3,927
25.307,2024/06/13 11:30:35.8269,3,950
25.594,2024/06/13 11:30:36.1139,5,821
25.84,2024/06/13 11:30:36.3599,5,821
26.087,2024/06/13 11:30:36.6069,5,821
26.785,2024/06/13 11:30:37.3049,3,859
27.278,2024/06/13 11:30:37.7979,3,954
28.508,2024/06/13 11:30:39.0279,3,986
28.796,2024/06/13 11:30:39.3159,5,952
29.042,2024/06/13 11:30:39.5619,5,952
29.289,2024/06/13 11:30:39.8089,5,952
29.494,2024/06/13 11:30:40.0139,3,912
29.987,2024/06/13 11:30:40.5069,3,991
31.218,2024/06/13 11:30:41.7379,3,981
31.956,2024/06/13 11:30:42.4759,3,884
31.997,2024/06/13 11:30:42.5169,5,952
32.244,2024/06/13 11:30:42.7639,5,952
32.49,2024/06/13 11:30:43.0099,5,952
32.737,2024/06/13 11:30:43.2569,5,952
32.942,2024/06/13 11:30:43.4619,3,932
33.475,2024/06/13 11:30:43.9949,5,952
33.721,2024/06/13 11:30:44.2409,5,952
33.927,2024/06/13 11:30:44.4469,3,991
33.968,2024/06/13 11:30:44.4879,5,952
34.214,2024/06/13 11:30:44.7339,5,952
34.46,2024/06/13 11:30:44.9799,5,952
34.707,2024/06/13 11:30:45.2269,5,952
34.912,2024/06/13 11:30:45.4319,3,923
34.952,2024/06/13 11:30:45.4719,5,952
35.198,2024/06/13 11:30:45.7179,5,952
35.446,2024/06/13 11:30:45.9659,5,952
35.692,2024/06/13 11:30:46.2119,5,952
35.937,2024/06/13 11:30:46.4569,5,952
36.143,2024/06/13 11:30:46.6629,3,995
36.184,2024/06/13 11:30:46.7039,5,952
36.431,2024/06/13 11:30:46.9509,5,952
36.676,2024/06/13 11:30:47.1959,5,952
36.882,2024/06/13 11:30:47.4019,3,992
36.923,2024/06/13 11:30:47.4429,5,952
37.169,2024/06/13 11:30:47.6889,5,952
37.415,2024/06/13 11:30:47.9349,5,952
37.621,2024/06/13 11:30:48.1409,3,914
37.662,2024/06/13 11:30:48.1819,5,951
37.908,2024/06/13 11:30:48.4279,5,952
38.155,2024/06/13 11:30:48.6749,5,952
38.4,2024/06/13 11:30:48.9199,5,952
38.605,2024/06/13 11:30:49.1249,3,975
38.647,2024/06/13 11:30:49.1669,5,952
38.893,2024/06/13 11:30:49.4129,5,952
39.14,2024/06/13 11:30:49.6599,5,952
39.386,2024/06/13 11:30:49.9059,5,952
39.591,2024/06/13 11:30:50.1109,3,924
39.632,2024/06/13 11:30:50.1519,5,952
39.879,2024/06/13 11:30:50.3989,5,952
40.124,2024/06/13 11:30:50.6439,5,952
40.331,2024/06/13 11:30:50.8509,3,871
40.371,2024/06/13 11:30:50.8909,5,952
40.617,2024/06/13 11:30:51.1369,5,952
40.863,2024/06/13 11:30:51.3829,5,952
41.11,2024/06/13 11:30:51.6299,5,952
41.315,2024/06/13 11:30:51.8349,3,915
41.356,2024/06/13 11:30:51.8759,5,952
41.602,2024/06/13 11:30:52.1219,5,952
41.849,2024/06/13 11:30:52.3689,5,952
42.094,2024/06/13 11:30:52.6139,5,952
42.341,2024/06/13 11:30:52.8609,5,952
42.547,2024/06/13 11:30:53.0669,3,894
42.587,2024/06/13 11:30:53.1069,5,952
42.833,2024/06/13 11:30:53.3529,5,952
43.08,2024/06/13 11:30:53.5999,5,952
43.286,2024/06/13 11:30:53.8059,3,867
43.325,2024/06/13 11:30:53.8449,5,952
43.573,2024/06/13 11:30:54.0929,5,952
43.818,2024/06/13 11:30:54.3379,5,952
44.065,2024/06/13 11:30:54.5849,5,952
44.27,2024/06/13 11:30:54.7899,3,966
44.312,2024/06/13 11:30:54.8319,5,952
44.557,2024/06/13 11:30:55.0769,5,952
44.804,2024/06/13 11:30:55.3239,5,952
45.05,2024/06/13 11:30:55.5699,5,952
45.256,2024/06/13 11:30:55.7759,3,967
45.789,2024/06/13 11:30:56.3089,5,952
46.241,2024/06/13 11:30:56.7609,3,939
46.527,2024/06/13 11:30:57.0469,5,952
46.774,2024/06/13 11:30:57.2939,5,952
46.98,2024/06/13 11:30:57.4999,3,1011
47.02,2024/06/13 11:30:57.5399,5,952
47.267,2024/06/13 11:30:57.7869,5,952
47.513,2024/06/13 11:30:58.0329,5,952
47.759,2024/06/13 11:30:58.2789,5,952
47.964,2024/06/13 11:30:58.4839,3,953
48.006,2024/06/13 11:30:58.5259,5,952
48.252,2024/06/13 11:30:58.7719,5,952
48.498,2024/06/13 11:30:59.0179,5,952
48.744,2024/06/13 11:30:59.2639,5,952
48.949,2024/06/13 11:30:59.4689,3,942
48.99,2024/06/13 11:30:59.5099,5,952
49.237,2024/06/13 11:30:59.7569,5,952
49.482,2024/06/13 11:31:00.0019,5,952
49.935,2024/06/13 11:31:00.4549,3,965
50.221,2024/06/13 11:31:00.7409,5,952
50.468,2024/06/13 11:31:00.9879,5,952
50.673,2024/06/13 11:31:01.1929,3,869
50.714,2024/06/13 11:31:01.2339,5,952
50.96,2024/06/13 11:31:01.4799,5,952
51.207,2024/06/13 11:31:01.7269,5,952
51.453,2024/06/13 11:31:01.9729,5,952
51.658,2024/06/13 11:31:02.1779,3,886
51.699,2024/06/13 11:31:02.2189,5,952
51.945,2024/06/13 11:31:02.4649,5,952
52.192,2024/06/13 11:31:02.7119,5,952
52.438,2024/06/13 11:31:02.9579,5,952
52.643,2024/06/13 11:31:03.1629,3,914
52.684,2024/06/13 11:31:03.2039,5,952
52.93,2024/06/13 11:31:03.4499,5,952
53.177,2024/06/13 11:31:03.6969,5,952
53.423,2024/06/13 11:31:03.9429,5,952
53.628,2024/06/13 11:31:04.1479,3,854
53.67,2024/06/13 11:31:04.1899,5,952
53.916,2024/06/13 11:31:04.4359,5,952
54.162,2024/06/13 11:31:04.6819,5,951
54.367,2024/06/13 11:31:04.8869,3,962
54.409,2024/06/13 11:31:04.9289,5,952
54.654,2024/06/13 11:31:05.1739,5,952
54.901,2024/06/13 11:31:05.4209,5,952
55.147,2024/06/13 11:31:05.6669,5,952
55.352,2024/06/13 11:31:05.8719,3,1011
55.393,2024/06/13 11:31:05.9129,5,952
55.64,2024/06/13 11:31:06.1599,5,952
55.887,2024/06/13 11:31:06.4069,5,952
56.132,2024/06/13 11:31:06.6519,5,952
56.338,2024/06/13 11:31:06.8579,3,930
56.378,2024/06/13 11:31:06.8979,5,952
56.625,2024/06/13 11:31:07.1449,5,952
56.871,2024/06/13 11:31:07.3909,5,952
57.117,2024/06/13 11:31:07.6369,5,952
57.323,2024/06/13 11:31:07.8429,3,986
57.365,2024/06/13 11:31:07.8849,5,952
57.61,2024/06/13 11:31:08.1299,5,952
57.856,2024/06/13 11:31:08.3759,5,952
58.102,2024/06/13 11:31:08.6219,5,952
58.308,2024/06/13 11:31:08.8279,3,1014
58.842,2024/06/13 11:31:09.3619,5,952
59.087,2024/06/13 11:31:09.6069,5,952
59.292,2024/06/13 11:31:09.8119,3,935
59.334,2024/06/13 11:31:09.8539,5,952
59.58,2024/06/13 11:31:10.0999,5,952
59.826,2024/06/13 11:31:10.3459,5,952
60.072,2024/06/13 11:31:10.5919,5,952
60.278,2024/06/13 11:31:10.7979,3,960
60.319,2024/06/13 11:31:10.8389,5,952
60.565,2024/06/13 11:31:11.0849,5,952
60.811,2024/06/13 11:31:11.3309,5,952
61.058,2024/06/13 11:31:11.5779,5,952
61.263,2024/06/13 11:31:11.7829,3,977
61.797,2024/06/13 11:31:12.3169,5,952
62.001,2024/06/13 11:31:12.5209,3,875
62.536,2024/06/13 11:31:13.0559,5,952
62.782,2024/06/13 11:31:13.3019,5,952
62.987,2024/06/13 11:31:13.5069,3,925
63.028,2024/06/13 11:31:13.5479,5,952
63.274,2024/06/13 11:31:13.7939,5,952
63.521,2024/06/13 11:31:14.0409,5,952
63.766,2024/06/13 11:31:14.2859,5,952
63.972,2024/06/13 11:31:14.4919,3,969
64.013,2024/06/13 11:31:14.5329,5,952
64.259,2024/06/13 11:31:14.7789,5,952
64.957,2024/06/13 11:31:15.4769,3,915
64.999,2024/06/13 11:31:15.5189,5,967
65.245,2024/06/13 11:31:15.7649,5,967
65.491,2024/06/13 11:31:16.0109,5,967
65.737,2024/06/13 11:31:16.2569,5,967
65.942,2024/06/13 11:31:16.4619,3,929
65.984,2024/06/13 11:31:16.5039,5,967
66.229,2024/06/13 11:31:16.7489,5,967
66.475,2024/06/13 11:31:16.9949,5,967
66.681,2024/06/13 11:31:17.2009,3,999
66.722,2024/06/13 11:31:17.2419,5,967
66.968,2024/06/13 11:31:17.4879,5,967
67.214,2024/06/13 11:31:17.7339,5,967
67.461,2024/06/13 11:31:17.9809,5,967
67.665,2024/06/13 11:31:18.1849,3,913
67.707,2024/06/13 11:31:18.2269,5,967
67.954,2024/06/13 11:31:18.4739,5,967
68.2,2024/06/13 11:31:18.7199,5,967
68.651,2024/06/13 11:31:19.1709,3,904
68.939,2024/06/13 11:31:19.4589,5,967
69.185,2024/06/13 11:31:19.7049,5,967
69.431,2024/06/13 11:31:19.9509,5,967
69.636,2024/06/13 11:31:20.1559,3,990
69.678,2024/06/13 11:31:20.1979,5,967
69.923,2024/06/13 11:31:20.4429,5,967
70.17,2024/06/13 11:31:20.6899,5,967
70.416,2024/06/13 11:31:20.9359,5,952
70.621,2024/06/13 11:31:21.1409,3,947
70.662,2024/06/13 11:31:21.1819,5,951
70.908,2024/06/13 11:31:21.4279,5,952
71.155,2024/06/13 11:31:21.6749,5,952
71.606,2024/06/13 11:31:22.1259,3,915
71.894,2024/06/13 11:31:22.4139,5,952
72.141,2024/06/13 11:31:22.6609,5,952
72.386,2024/06/13 11:31:22.9059,5,952
72.592,2024/06/13 11:31:23.1119,3,994
72.633,2024/06/13 11:31:23.1529,5,952
72.879,2024/06/13 11:31:23.3989,5,952
73.125,2024/06/13 11:31:23.6449,5,952
73.372,2024/06/13 11:31:23.8919,5,952
73.577,2024/06/13 11:31:24.0969,3,990
73.618,2024/06/13 11:31:24.1379,5,952
73.864,2024/06/13 11:31:24.3839,5,952
74.111,2024/06/13 11:31:24.6309,5,952
74.356,2024/06/13 11:31:24.8759,5,952
74.561,2024/06/13 11:31:25.0809,3,936
74.603,2024/06/13 11:31:25.1229,5,952
74.849,2024/06/13 11:31:25.3689,5,952
75.095,2024/06/13 11:31:25.6149,5,952
75.342,2024/06/13 11:31:25.8619,5,952
75.546,2024/06/13 11:31:26.0659,3,1002
75.588,2024/06/13 11:31:26.1079,5,952
75.835,2024/06/13 11:31:26.3549,5,952
76.08,2024/06/13 11:31:26.5999,5,952
76.327,2024/06/13 11:31:26.8469,5,952
76.573,2024/06/13 11:31:27.0929,5,952
76.778,2024/06/13 11:31:27.2979,3,1017
76.819,2024/06/13 11:31:27.3389,5,952
77.066,2024/06/13 11:31:27.5859,5,952
77.517,2024/06/13 11:31:28.0369,3,935
77.804,2024/06/13 11:31:28.3239,5,952
78.051,2024/06/13 11:31:28.5709,5,952
78.256,2024/06/13 11:31:28.7759,3,961
78.297,2024/06/13 11:31:28.8169,5,952
78.543,2024/06/13 11:31:29.0629,5,952
78.79,2024/06/13 11:31:29.3099,5,952
79.036,2024/06/13 11:31:29.5559,5,952
79.241,2024/06/13 11:31:29.7609,3,987
79.282,2024/06/13 11:31:29.8019,5,952
79.529,2024/06/13 11:31:30.0489,5,967
79.774,2024/06/13 11:31:30.2939,5,967
80.022,2024/06/13 11:31:30.5419,5,967
80.226,2024/06/13 11:31:30.7459,3,895
80.267,2024/06/13 11:31:30.7869,5,967
80.514,2024/06/13 11:31:31.0339,5,967
80.76,2024/06/13 11:31:31.2799,5,967
81.006,2024/06/13 11:31:31.5259,5,967
81.21,2024/06/13 11:31:31.7299,3,935
81.252,2024/06/13 11:31:31.7719,5,967
81.498,2024/06/13 11:31:32.0179,5,967
81.745,2024/06/13 11:31:32.2649,5,967
81.95,2024/06/13 11:31:32.4699,3,955
81.991,2024/06/13 11:31:32.5109,5,967
82.238,2024/06/13 11:31:32.7579,5,967
82.484,2024/06/13 11:31:33.0039,5,967
82.73,2024/06/13 11:31:33.2499,5,967
82.935,2024/06/13 11:31:33.4549,3,865
82.976,2024/06/13 11:31:33.4959,5,967
83.223,2024/06/13 11:31:33.7429,5,967
83.469,2024/06/13 11:31:33.9889,5,967
83.715,2024/06/13 11:31:34.2349,5,967
83.92,2024/06/13 11:31:34.4399,3,944
83.962,2024/06/13 11:31:34.4819,5,967
84.208,2024/06/13 11:31:34.7279,5,967
84.454,2024/06/13 11:31:34.9739,5,967
84.7,2024/06/13 11:31:35.2199,5,967
84.905,2024/06/13 11:31:35.4249,3,991
84.947,2024/06/13 11:31:35.4669,5,967
85.193,2024/06/13 11:31:35.7129,5,967
85.439,2024/06/13 11:31:35.9589,5,967
85.686,2024/06/13 11:31:36.2059,5,967
85.89,2024/06/13 11:31:36.4099,3,922
85.931,2024/06/13 11:31:36.4509,5,967
86.178,2024/06/13 11:31:36.6979,5,967
86.424,2024/06/13 11:31:36.9439,5,967
86.671,2024/06/13 11:31:37.1909,5,967
86.917,2024/06/13 11:31:37.4369,5,966
87.163,2024/06/13 11:31:37.6829,5,967
87.367,2024/06/13 11:31:37.8869,3,995
87.86,2024/06/13 11:31:38.3799,3,1014
87.902,2024/06/13 11:31:38.4219,5,967
88.641,2024/06/13 11:31:39.1609,5,952
88.846,2024/06/13 11:31:39.3659,3,918
88.887,2024/06/13 11:31:39.4069,5,952
89.134,2024/06/13 11:31:39.6539,5,952
89.379,2024/06/13 11:31:39.8989,5,952
89.625,2024/06/13 11:31:40.1449,5,952
89.831,2024/06/13 11:31:40.3509,3,955
89.872,2024/06/13 11:31:40.3919,5,952
90.118,2024/06/13 11:31:40.6379,5,952
90.365,2024/06/13 11:31:40.8849,5,952
90.57,2024/06/13 11:31:41.0899,3,978
90.611,2024/06/13 11:31:41.1309,5,952
90.858,2024/06/13 11:31:41.3779,5,952
91.103,2024/06/13 11:31:41.6229,5,952
91.35,2024/06/13 11:31:41.8699,5,952
91.554,2024/06/13 11:31:42.0739,3,903
91.596,2024/06/13 11:31:42.1159,5,952
91.842,2024/06/13 11:31:42.3619,5,952
92.088,2024/06/13 11:31:42.6079,5,952
92.335,2024/06/13 11:31:42.8549,5,952
92.539,2024/06/13 11:31:43.0589,3,960
92.581,2024/06/13 11:31:43.1009,5,952
92.827,2024/06/13 11:31:43.3469,5,952
93.073,2024/06/13 11:31:43.5929,5,952
93.279,2024/06/13 11:31:43.7989,3,942
93.32,2024/06/13 11:31:43.8399,5,952
93.567,2024/06/13 11:31:44.0869,5,952
93.813,2024/06/13 11:31:44.3329,5,952
94.017,2024/06/13 11:31:44.5369,3,846
94.059,2024/06/13 11:31:44.5789,5,952
94.305,2024/06/13 11:31:44.8249,5,952
94.551,2024/06/13 11:31:45.0709,5,967
94.797,2024/06/13 11:31:45.3169,5,967
95.002,2024/06/13 11:31:45.5219,3,798
95.044,2024/06/13 11:31:45.5639,5,967
95.29,2024/06/13 11:31:45.8099,5,967
95.536,2024/06/13 11:31:46.0559,5,967
95.741,2024/06/13 11:31:46.2609,3,774
95.783,2024/06/13 11:31:46.3029,5,967
96.029,2024/06/13 11:31:46.5489,5,967
96.276,2024/06/13 11:31:46.7959,5,967
96.48,2024/06/13 11:31:46.9999,3,852
96.522,2024/06/13 11:31:47.0419,5,967
96.767,2024/06/13 11:31:47.2869,5,967
97.014,2024/06/13 11:31:47.5339,5,967
97.26,2024/06/13 11:31:47.7799,5,967
97.465,2024/06/13 11:31:47.9849,3,864
97.506,2024/06/13 11:31:48.0259,5,967
97.753,2024/06/13 11:31:48.2729,5,967
97.999,2024/06/13 11:31:48.5189,5,967
98.246,2024/06/13 11:31:48.7659,5,967
98.45,2024/06/13 11:31:48.9699,3,800
98.985,2024/06/13 11:31:49.5049,5,967
99.189,2024/06/13 11:31:49.7089,3,865
99.231,2024/06/13 11:31:49.7509,5,967
99.477,2024/06/13 11:31:49.9969,5,967
99.724,2024/06/13 11:31:50.2439,5,967
99.97,2024/06/13 11:31:50.4899,5,967
100.215,2024/06/13 11:31:50.7349,5,967
100.421,2024/06/13 11:31:50.9409,3,956
100.462,2024/06/13 11:31:50.9819,5,967
100.708,2024/06/13 11:31:51.2279,5,967
100.954,2024/06/13 11:31:51.4739,5,967
101.159,2024/06/13 11:31:51.6789,3,883
101.201,2024/06/13 11:31:51.7209,5,967
101.447,2024/06/13 11:31:51.9669,5,967
101.693,2024/06/13 11:31:52.2129,5,967
101.94,2024/06/13 11:31:52.4599,5,967
102.144,2024/06/13 11:31:52.6639,3,931
102.186,2024/06/13 11:31:52.7059,5,967
102.432,2024/06/13 11:31:52.9519,5,967
102.679,2024/06/13 11:31:53.1989,5,967
102.883,2024/06/13 11:31:53.4029,3,949
102.925,2024/06/13 11:31:53.4449,5,967
103.171,2024/06/13 11:31:53.6909,5,967
103.868,2024/06/13 11:31:54.3879,3,848
103.91,2024/06/13 11:31:54.4299,5,938
104.156,2024/06/13 11:31:54.6759,5,938
104.402,2024/06/13 11:31:54.9219,5,938
104.607,2024/06/13 11:31:55.1269,3,889
104.649,2024/06/13 11:31:55.1689,5,938
104.897,2024/06/13 11:31:55.4169,5,938
105.141,2024/06/13 11:31:55.6609,5,938
105.388,2024/06/13 11:31:55.9079,5,923
105.592,2024/06/13 11:31:56.1119,3,929
105.634,2024/06/13 11:31:56.1539,5,923
105.88,2024/06/13 11:31:56.3999,5,923
106.126,2024/06/13 11:31:56.6459,5,923
106.373,2024/06/13 11:31:56.8929,5,923
106.577,2024/06/13 11:31:57.0969,3,850
106.618,2024/06/13 11:31:57.1379,5,923
106.865,2024/06/13 11:31:57.3849,5,923
107.111,2024/06/13 11:31:57.6309,5,923
107.317,2024/06/13 11:31:57.8369,3,916
107.357,2024/06/13 11:31:57.8769,5,923
107.604,2024/06/13 11:31:58.1239,5,923
107.851,2024/06/13 11:31:58.3709,5,923
108.096,2024/06/13 11:31:58.6159,5,923
108.301,2024/06/13 11:31:58.8209,3,931
108.343,2024/06/13 11:31:58.8629,5,923
108.588,2024/06/13 11:31:59.1079,5,923
108.835,2024/06/13 11:31:59.3549,5,923
109.082,2024/06/13 11:31:59.6019,5,923
109.286,2024/06/13 11:31:59.8059,3,870
109.328,2024/06/13 11:31:59.8479,5,923
109.574,2024/06/13 11:32:00.0939,5,923
109.82,2024/06/13 11:32:00.3399,5,923
110.066,2024/06/13 11:32:00.5859,5,923
110.271,2024/06/13 11:32:00.7909,3,938
110.313,2024/06/13 11:32:00.8329,5,923
110.559,2024/06/13 11:32:01.0789,5,923
110.806,2024/06/13 11:32:01.3259,5,923
111.052,2024/06/13 11:32:01.5719,5,923
111.256,2024/06/13 11:32:01.7759,3,946
111.298,2024/06/13 11:32:01.8179,5,923
111.544,2024/06/13 11:32:02.0639,5,923
111.79,2024/06/13 11:32:02.3099,5,923
111.995,2024/06/13 11:32:02.5149,3,927
112.037,2024/06/13 11:32:02.5569,5,923
112.284,2024/06/13 11:32:02.8039,5,923
112.98,2024/06/13 11:32:03.4999,3,979
113.022,2024/06/13 11:32:03.5419,5,923
113.268,2024/06/13 11:32:03.7879,5,923
113.514,2024/06/13 11:32:04.0339,5,923
113.761,2024/06/13 11:32:04.2809,5,923
113.965,2024/06/13 11:32:04.4849,3,937
114.007,2024/06/13 11:32:04.5269,5,923
114.253,2024/06/13 11:32:04.7729,5,923
114.5,2024/06/13 11:32:05.0199,5,923
114.745,2024/06/13 11:32:05.2649,5,923
114.95,2024/06/13 11:32:05.4699,3,938
114.992,2024/06/13 11:32:05.5119,5,923
115.238,2024/06/13 11:32:05.7579,5,923
115.485,2024/06/13 11:32:06.0049,5,923
115.689,2024/06/13 11:32:06.2089,3,955
116.223,2024/06/13 11:32:06.7429,5,923
116.47,2024/06/13 11:32:06.9899,5,923
116.674,2024/06/13 11:32:07.1939,3,891
116.716,2024/06/13 11:32:07.2359,5,923
116.962,2024/06/13 11:32:07.4819,5,923
117.208,2024/06/13 11:32:07.7279,5,923
117.455,2024/06/13 11:32:07.9749,5,938
117.66,2024/06/13 11:32:08.1799,3,921
117.701,2024/06/13 11:32:08.2209,5,938
117.948,2024/06/13 11:32:08.4679,5,938
118.194,2024/06/13 11:32:08.7139,5,938
